stat_id,metric_key,metric_label,year,stratum,value_numeric,value_text,unit,denominator_notes,population_notes,source_id,report_section,extraction_method
people_with_cf_2009,registry.people_with_cf,People with CF in the Registry,2009,all,26104,26104,count,Registry participants seen in the reporting year including transplant recipients for this demographic table.,US CFF-accredited care centers; consenting Registry participants.,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
people_with_cf_2014,registry.people_with_cf,People with CF in the Registry,2014,all,28611,28611,count,Registry participants seen in the reporting year including transplant recipients for this demographic table.,US CFF-accredited care centers; consenting Registry participants.,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
people_with_cf_2019,registry.people_with_cf,People with CF in the Registry,2019,all,31295,31295,count,Registry participants seen in the reporting year including transplant recipients for this demographic table.,US CFF-accredited care centers; consenting Registry participants.,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
people_with_cf_2023,registry.people_with_cf,People with CF in the Registry,2023,all,33389,33389,count,Registry participants seen in the reporting year including transplant recipients for this demographic table.,US CFF-accredited care centers; consenting Registry participants.,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
people_with_cf_2024,registry.people_with_cf,People with CF in the Registry,2024,all,33989,33989,count,Registry participants seen in the reporting year including transplant recipients for this demographic table.,US CFF-accredited care centers; consenting Registry participants.,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
newly_diagnosed_2024,registry.newly_diagnosed,Newly diagnosed individuals,2024,all,843,843,count,CFF notes additional 2024 diagnoses may be entered in 2025.,US Registry.,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
median_age_2024,registry.median_age,Median age,2024,all,23.2,23.2,years,,Age range birth to 93.9 years.,cff_registry_adr_2024,Demographics,manual_from_published_text
mean_age_2024,registry.mean_age,Mean age,2024,all,25.5,25.5,years,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
adults_pct_1994,registry.adults_pct,Adults aged 18 and older,1994,age_ge_18,33.8,33.8,percent,Percent of Registry population.,Comparison cited in 2024 demographics narrative.,cff_registry_adr_2024,Demographics,manual_from_published_text
adults_pct_2009,registry.adults_pct,Adults aged 18 and older,2009,age_ge_18,47.2,47.2,percent,Percent of Registry population.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
adults_pct_2014,registry.adults_pct,Adults aged 18 and older,2014,age_ge_18,50.8,50.8,percent,Percent of Registry population.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
adults_pct_2019,registry.adults_pct,Adults aged 18 and older,2019,age_ge_18,55.9,55.9,percent,Percent of Registry population.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
adults_pct_2023,registry.adults_pct,Adults aged 18 and older,2023,age_ge_18,60.4,60.4,percent,Percent of Registry population.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
adults_pct_2024,registry.adults_pct,Adults aged 18 and older,2024,age_ge_18,61.6,61.6,percent,Percent of Registry population.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
hispanic_pct_2024,registry.hispanic_pct,Hispanic ethnicity any race,2024,all,10.3,10.3,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
hispanic_median_age_2024,registry.median_age,Median age among Hispanic individuals,2024,hispanic,16.1,16.1,years,,Hispanic individuals tended to be younger than the overall CF population.,cff_registry_adr_2024,Demographics,manual_from_published_text
black_pct_2024,registry.black_pct,African American,2024,all,3.4,3.4,percent,Mutually exclusive race reporting.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
white_pct_2024,registry.white_pct,White,2024,all,90.8,90.8,percent,Mutually exclusive race reporting.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
other_race_pct_2024,registry.other_race_pct,Other race,2024,all,5.8,5.8,percent,Mutually exclusive race reporting.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
deaths_2024,registry.deaths,Total deaths,2024,all,226,226,count,Includes transplant recipients in this summary table.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
mortality_rate_2024,registry.annual_mortality_rate,Annual mortality rate,2024,all,0.7,0.7,per_100,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
median_survival_2009,registry.predicted_median_survival,Predicted median survival five-year increment,2009,all,38.0,38.0,years,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
median_survival_2014,registry.predicted_median_survival,Predicted median survival five-year increment,2014,all,40.1,40.1,years,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
median_survival_2019,registry.predicted_median_survival,Predicted median survival five-year increment,2019,all,46.1,46.1,years,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
median_survival_2023,registry.predicted_median_survival,Predicted median survival five-year increment,2023,all,61.2,61.2,years,95% CI 58.5-63.5,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
median_survival_2024,registry.predicted_median_survival,Predicted median survival five-year increment,2024,all,65.4,65.4,years,95% CI 63.6-68.1,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
median_age_at_death_2024,registry.median_age_at_death,Median age at death,2024,all,38.8,38.8,years,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
bmi_pctile_2_19_2024,registry.bmi_percentile,BMI percentile ages 2-19 median,2024,age_2_19,61.6,61.6,percentile,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
bmi_adults_2024,registry.bmi,BMI ages 20 and older median,2024,age_ge_20,24.0,24.0,kg_m2,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
bmi_ge30_adults_2024,registry.bmi_ge30_pct,BMI 30 or higher ages 20 and older,2024,age_ge_20,12.9,12.9,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
pert_pct_2009,registry.pert_pct,Pancreatic enzyme replacement therapy,2009,all,87.4,87.4,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
pert_pct_2024,registry.pert_pct,Pancreatic enzyme replacement therapy,2024,all,80.2,80.2,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
tube_feeding_2024,registry.tube_feeding_pct,Supplemental feeding tube,2024,all,5.1,5.1,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
fev1_2009,registry.fev1_pct_predicted,FEV1 percent predicted mean,2009,age_gt_7,79.0,79.0,percent_predicted,GLI 2022 race-neutral equations; ages greater than 7 years.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
fev1_2019,registry.fev1_pct_predicted,FEV1 percent predicted mean,2019,age_gt_7,82.3,82.3,percent_predicted,GLI 2022 race-neutral equations; ages greater than 7 years.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
fev1_2024,registry.fev1_pct_predicted,FEV1 percent predicted mean,2024,age_gt_7,89.1,89.1,percent_predicted,GLI 2022 race-neutral equations; ages greater than 7 years.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
fvc_2024,registry.fvc_pct_predicted,FVC percent predicted mean,2024,age_gt_7,100.7,100.7,percent_predicted,GLI 2022 race-neutral equations; ages greater than 7 years.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
pa_pct_2009,registry.pseudomonas_pct,Pseudomonas aeruginosa in any culture,2009,cultured,52.0,52.0,percent,Includes PA and multidrug-resistant PA found in any culture during the year.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
pa_pct_2019,registry.pseudomonas_pct,Pseudomonas aeruginosa in any culture,2019,cultured,43.3,43.3,percent,Includes PA and multidrug-resistant PA found in any culture during the year.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
pa_pct_2024,registry.pseudomonas_pct,Pseudomonas aeruginosa in any culture,2024,cultured,23.3,23.3,percent,Includes PA and multidrug-resistant PA found in any culture during the year. Fewer in-person visits since 2020 reduced culture frequency.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
mrsa_pct_2009,registry.mrsa_pct,MRSA,2009,cultured,24.0,24.0,percent,,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
mrsa_pct_2024,registry.mrsa_pct,MRSA,2024,cultured,13.1,13.1,percent,MSSA and MRSA are not mutually exclusive.,,cff_registry_adr_2024,Summary table 2009-2024,manual_from_published_table
