preset_id,component_id,weight
default,patient_need,0.25
default,treatment_gap,0.20
default,competitive_whitespace,0.20
default,tractability,0.15
default,economic,0.10
default,why_now,0.10
patient_impact,patient_need,0.35
patient_impact,treatment_gap,0.25
patient_impact,competitive_whitespace,0.10
patient_impact,tractability,0.15
patient_impact,economic,0.05
patient_impact,why_now,0.10
venture_creation,patient_need,0.25
venture_creation,treatment_gap,0.15
venture_creation,competitive_whitespace,0.25
venture_creation,tractability,0.20
venture_creation,economic,0.05
venture_creation,why_now,0.10
commercial,patient_need,0.15
commercial,treatment_gap,0.15
commercial,competitive_whitespace,0.25
commercial,tractability,0.10
commercial,economic,0.25
commercial,why_now,0.10
