strategy,stage,n_assets,n_industry,n_academic,n_whitespace,strategy_total,crowding_band,universe,source_id
anion_bypass,phase_1,1,1,0,1,1,low,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
anti_inflammatory,phase_2,2,0,2,2,2,moderate,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
antimicrobial,phase_1,1,0,0,1,2,moderate,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
antimicrobial,approved,1,0,0,0,2,moderate,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
aso_oligonucleotide,phase_2,1,1,0,1,1,low,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
cftr_modulator,phase_1,3,3,0,3,6,high,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
cftr_modulator,phase_2,1,1,0,1,6,high,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
cftr_modulator,approved,2,2,0,0,6,high,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
gene_editing,preclinical,1,1,0,1,1,low,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
gene_therapy,preclinical,1,1,0,1,5,high,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
gene_therapy,phase_1,3,3,0,3,5,high,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
gene_therapy,phase_2,1,1,0,1,5,high,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
genetic_therapy,preclinical,1,1,0,1,1,low,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
gi_nutrition,phase_2,2,2,0,2,3,moderate,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
gi_nutrition,approved,1,0,0,0,3,moderate,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
metabolic_cfrd,phase_3,1,0,0,1,1,low,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
mrna,preclinical,1,1,0,1,5,high,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
mrna,phase_1,2,1,1,2,5,high,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
mrna,phase_2,2,2,0,2,5,high,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
mucociliary_clearance,approved,1,1,0,0,2,moderate,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
mucociliary_clearance,standard_of_care,1,0,0,0,2,moderate,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
nonsense_readthrough,preclinical,1,0,1,1,1,low,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
other,phase_2,1,0,1,1,1,low,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
phage,phase_1,1,0,1,1,2,moderate,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
phage,phase_2,1,1,0,1,2,moderate,reviewed_map_eligible_crowding_unit,clinicaltrials_gov_api_v2
