nct_id,brief_title,overall_status,lead_sponsor_class,lead_sponsor_name,phase,normalized_stage,is_active,ncfb_heuristic,disease_area,strategy,strategy_rule_id,need_ids,role,map_eligible,whitespace_relevant,crowding_unit,review_status,review_source,asset_name,company_name,linked_program_id,review_notes,retrieved_at,source_id
NCT00004287,Phase I Study of the Third Generation Adenovirus H5.001CBCFTR in Patients With Cystic Fibrosis,COMPLETED,NIH,National Center for Research Resources (NCRR),PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,National Center for Research Resources (NCRR),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004315,"Phase II Pilot Study to Compare the Bioavailability of Buffered, Enteric-Coated Ursodiol With Unmodified Ursodiol for Chronic Cholestatic Liver Disease and Cystic Fibrosis-Associated Liver Disease",UNKNOWN,NIH,National Center for Research Resources (NCRR),PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,National Center for Research Resources (NCRR),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004428,Phase I Randomized Study of CPX for the Treatment of Adult Patients With Mild Cystic Fibrosis,COMPLETED,FED,FDA Office of Orphan Products Development,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,FDA Office of Orphan Products Development,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004440,Study of Ibuprofen to Preserve Lung Function in Patients With Cystic Fibrosis,COMPLETED,FED,FDA Office of Orphan Products Development,NA,not_applicable,False,,cf,anti_inflammatory,anti_inflammatory,N3,therapeutic,0,0,0,auto_suggested,rules,,FDA Office of Orphan Products Development,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004441,Study of Tauroursodeoxycholic Acid for Hepatobiliary Disease in Cystic Fibrosis,COMPLETED,OTHER,"Children's Hospital Medical Center, Cincinnati",NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,"Children's Hospital Medical Center, Cincinnati",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004471,Phase I Pilot Study of Gene Therapy for Cystic Fibrosis Using Cationic Liposome Mediated Gene Transfer,COMPLETED,OTHER,University of Alabama at Birmingham,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University of Alabama at Birmingham,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004489,Randomized Study of Alendronate in Adult Patients With Cystic Fibrosis Related Osteoporosis,COMPLETED,OTHER,University of North Carolina,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University of North Carolina,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004533,Phase I Randomized Study of Adeno-Associated Virus-CFTR Vector in Patients With Cystic Fibrosis,COMPLETED,NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004705,Study of Uridine Triphosphate (UTP) as an Aerosol Spray for Cystic Fibrosis,COMPLETED,FED,FDA Office of Orphan Products Development,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,FDA Office of Orphan Products Development,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004747,"Phase II Randomized, Double-Blind, Placebo-Controlled Study of Intravenous Mucoid Exopolysaccharide Pseudomonas Aeruginosa Immune Globulin for Cystic Fibrosis",COMPLETED,NIH,National Center for Research Resources (NCRR),PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,National Center for Research Resources (NCRR),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004779,"Phase I Pilot Study of Ad5-CB-CFTR, an Adenovirus Vector Containing the Cystic Fibrosis Transmembrane Conductance Regulator Gene, in Patients With Cystic Fibrosis",COMPLETED,NIH,National Center for Research Resources (NCRR),PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,National Center for Research Resources (NCRR),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004806,Phase I Study of Liposome-Mediated Gene Transfer in Patients With Cystic Fibrosis,COMPLETED,OTHER,University of Alabama at Birmingham,PHASE1,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University of Alabama at Birmingham,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004829,Phase III Randomized Study of the Inhalation of Tobramycin in Patients With Cystic Fibrosis,COMPLETED,FED,FDA Office of Orphan Products Development,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,FDA Office of Orphan Products Development,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00005110,A Multi-Centered Study of the Long-Term Effect of Salmeterol and Albuterol in Cystic Fibrosis,SUSPENDED,NIH,National Center for Research Resources (NCRR),NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,National Center for Research Resources (NCRR),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00005112,Growth Hormone Use in Cystic Fibrosis - a Multicenter Study,COMPLETED,NIH,National Center for Research Resources (NCRR),PHASE3,phase_3,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,National Center for Research Resources (NCRR),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00006063,Randomized Study of Pancrelipase With Bicarbonate (PANCRECARB) Capsules in Reducing Steatorrhea in Patients With Cystic Fibrosis,COMPLETED,NIH,National Center for Research Resources (NCRR),NA,not_applicable,False,,cf,gi_nutrition,gi,N6,therapeutic,0,0,0,auto_suggested,rules,,National Center for Research Resources (NCRR),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00006169,Behavioral Treatment of Weight Gain in CF,COMPLETED,NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),PHASE3,phase_3,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00006280,A Study of the Safety and Efficacy of Tobramycin for Inhalation in Young Children With Cystic Fibrosis,COMPLETED,NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),PHASE2,phase_2,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00008775,Pressure Support Ventilation During CF Exacerbations,SUSPENDED,NIH,National Center for Research Resources (NCRR),NA,not_applicable,False,,cf,other,no_keyword_match,,diagnostic,0,0,0,auto_suggested,rules,,National Center for Research Resources (NCRR),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00014950,Benefits and Risks of Newborn Screening for Cystic Fibrosis,COMPLETED,NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00016445,Phase II Study of Growth Hormone in Children With Cystic Fibrosis,COMPLETED,OTHER,University of Utah,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,University of Utah,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00016744,Phenylbutyrate/Genistein Duotherapy in Delta F508-Homozygous(for Cystic Fibrosis),COMPLETED,OTHER,Children's Hospital of Philadelphia,PHASE1;PHASE2,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Children's Hospital of Philadelphia,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00034515,A Study in Adult and Pediatric Patients With Cystic Fibrosis,COMPLETED,INDUSTRY,Merck Sharp & Dohme LLC,PHASE1;PHASE2,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Merck Sharp & Dohme LLC,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00043316,Interferon Gamma-1b by Inhalation for the Treatment of Patients With Cystic Fibrosis,COMPLETED,INDUSTRY,InterMune,PHASE1;PHASE2,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,InterMune,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00043342,Study of Interferon Gamma-1b by Injection for the Treatment of Patients With Cystic Fibrosis,COMPLETED,INDUSTRY,InterMune,PHASE1;PHASE2,phase_1,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,InterMune,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00056147,Study of INS37217 Inhalation Solution in Mild to Moderate Cystic Fibrosis Lung Disease,COMPLETED,INDUSTRY,Merck Sharp & Dohme LLC,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Merck Sharp & Dohme LLC,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00060801,Efficacy and Safety of 24 Weeks of Oral Treatment With BIIL 284 BS in Adult and Pediatric Patients,TERMINATED,INDUSTRY,Boehringer Ingelheim,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Boehringer Ingelheim,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00072904,Diabetes Therapy to Improve BMI and Lung Function in CF,COMPLETED,NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),PHASE3,phase_3,False,,cf,metabolic_cfrd,cfrd,N5,therapeutic,0,0,0,auto_suggested,rules,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00073463,Safety and Efficacy of Recombinant Adeno-Associated Virus Containing the CFTR Gene in the Treatment of Cystic Fibrosis,TERMINATED,INDUSTRY,Targeted Genetics Corporation,PHASE2;PHASE3,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Targeted Genetics Corporation,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00079742,A Study to Evaluate Nutropin AQ for the Treatment of Growth Restriction in Children With Cystic Fibrosis,COMPLETED,INDUSTRY,"Genentech, Inc.",PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,"Genentech, Inc.",,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00082238,Increased Gluconeogenesis is One Cause of Cystic Fibrosis Related Diabetes (CFRD),COMPLETED,NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NA,not_applicable,False,,cf,metabolic_cfrd,cfrd,N5,supportive,0,0,0,auto_suggested,rules,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00095732,Oral TheraCLEC™ - Total in Cystic Fibrosis Subjects With Exocrine Pancreatic Insufficiency,COMPLETED,INDUSTRY,Anthera Pharmaceuticals,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Anthera Pharmaceuticals,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00097773,Comparison of Two Treatment Regimens to Reduce PA Infection in Children With Cystic Fibrosis,COMPLETED,OTHER,Seattle Children's Hospital,PHASE2,phase_2,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Seattle Children's Hospital,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00103714,Study of Denufosol Tetrasodium in Patients With Cystic Fibrosis Lung Disease,COMPLETED,INDUSTRY,Merck Sharp & Dohme LLC,PHASE2,phase_2,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Merck Sharp & Dohme LLC,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00104494,Zinc Homeostasis and Kinetics in Children With Cystic Fibrosis (CF),COMPLETED,OTHER,Cystic Fibrosis Foundation,NA,not_applicable,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Cystic Fibrosis Foundation,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00104520,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,COMPLETED,INDUSTRY,Gilead Sciences,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Gilead Sciences,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00105183,EZ-2053 in the Prophylaxis of Acute Pulmonary Allograft Rejection,COMPLETED,INDUSTRY,Neovii Biotech,PHASE3,phase_3,False,,cf,other,no_keyword_match,,supportive,0,0,0,auto_suggested,rules,,Neovii Biotech,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00112359,International Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,COMPLETED,INDUSTRY,Gilead Sciences,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Gilead Sciences,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00117208,Comparison of Inhaled Mannitol and rhDNase in Children With Cystic Fibrosis,COMPLETED,INDUSTRY,Syntara,PHASE2,phase_2,False,,cf,mucociliary_clearance,mucociliary,N3,therapeutic,0,0,0,auto_suggested,rules,,Syntara,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00125346,Tobramycin Inhalation Powder (TIP) in Cystic Fibrosis Subjects,TERMINATED,INDUSTRY,Novartis,PHASE3,phase_3,False,,cf,antimicrobial,antimicrobial,N4,therapeutic,0,0,0,auto_suggested,rules,,Novartis,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
