nct_id,brief_title,overall_status,lead_sponsor_class,phase,start_date,ncfb_reason
NCT00476281,"Nutritional, Metabolic and Respiratory Status in Cystic Fibrosis",COMPLETED,OTHER,NA,2008-04,non-cystic fibrosis phrase
NCT00484263,The Long Term Effect of Inhaled Hypertonic Saline (6%) in Patients With Non Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,PHASE3,2007-12,non-cystic fibrosis bronchiectasis
NCT00671723,Dornase Alpha Versus Hypertonic Saline for Lung Atelectasis in Non-Cystic Fibrosis Patients,COMPLETED,OTHER,NA,2006-10,non-cystic fibrosis phrase
NCT00728715,Efficacy of Budesonide-Formoterol in Bronchiectasis,COMPLETED,OTHER,NA,2004-01,non-cystic fibrosis bronchiectasis
NCT00816309,"Is Regular Chest Physiotherapy an Effective Treatment in Severe, Non Cystic Fibrosis Bronchiectasis?",COMPLETED,OTHER_GOV,PHASE4,2007-10,non-cystic fibrosis bronchiectasis
NCT00868075,Pulmonary Rehabilitation in Non Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER_GOV,PHASE4,2009-03,non-cystic fibrosis bronchiectasis
NCT00885521,Exercise Training in Patients With Non-cystic Fibrosis (CF) Bronchiectasis,COMPLETED,OTHER_GOV,PHASE1,2009-02,non-cf bronchiectasis
NCT00889967,"Safety and Efficacy Study of Ciprofloxacin for Inhalation in Patients With Non-Cystic Fibrosis Bronchiectasis ""ORBIT-1""",COMPLETED,INDUSTRY,PHASE2,2010-02,non-cystic fibrosis bronchiectasis
NCT00930982,Evaluation of Cipro Inhale in Patients With Non-cystic Fibrosis Bronchiectasis,COMPLETED,INDUSTRY,PHASE2,2009-06,non-cystic fibrosis bronchiectasis
NCT01299181,A Trial of Atorvastatin as an Anti-Inflammatory Agent in Non-Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,PHASE4,2010-11,non-cystic fibrosis bronchiectasis
NCT01299194,Atorvastatin in Bronchiectasis in Patients With Pseudomonas Aeruginosa,COMPLETED,OTHER,PHASE4,2010-11,non-cystic fibrosis bronchiectasis
NCT01313624,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,COMPLETED,INDUSTRY,PHASE3,2011-04,non-cystic fibrosis bronchiectasis
NCT01314716,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,COMPLETED,INDUSTRY,PHASE3,2011-04,non-cystic fibrosis bronchiectasis
NCT01463371,Effects of Azithromycin on Airway Oxidative Stress Markers in Patients With Bronchiectasis,COMPLETED,OTHER,NA,2006-10,non-cystic fibrosis bronchiectasis
NCT01515007,Phase 3 Study With Ciprofloxacin Dispersion for Inhalation in Non-CF Bronchiectasis (ORBIT-3),COMPLETED,INDUSTRY,PHASE3,2014-03-31,non-cystic fibrosis bronchiectasis
NCT01684683,The Effect of Theophylline in the Treatment of Bronchiectasis,COMPLETED,OTHER,PHASE4,2012-11,non-cystic fibrosis bronchiectasis
NCT01764841,Ciprofloxacin Dry Powder for Inhalation in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),COMPLETED,INDUSTRY,PHASE3,2013-05-02,non-cystic fibrosis bronchiectasis
NCT01818544,Safety and Efficacy of Oral BAY85-8501 in Patients With Non-CF (Cystic Fibrosis) Bronchiectasis,COMPLETED,INDUSTRY,PHASE2,2013-04,non-cystic fibrosis bronchiectasis
NCT01851694,Beta-cell Response to Incretin Hormones in Cystic Fibrosis,RECRUITING,OTHER,NA,2013-05,non-cystic fibrosis phrase
NCT01854788,3 Airway Clearance Techniques in Non Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,NA,2010-09,non-cystic fibrosis bronchiectasis
NCT02035488,Pharmacokinetic Evaluation and Tolerability of Dry Powder Tobramycin by a Novel Device in Patients With Non Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,PHASE1;PHASE2,2013-10,non-cystic fibrosis bronchiectasis
NCT02081963,Combined Administration of Nebulized Amikacin in Patients With Acute Exacerbation of Non-Cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,PHASE4,2014-03,non-cystic fibrosis bronchiectasis
NCT02088216,"Effect of Long-term, High-dose N-acetylcysteine on Exacerbations of Bronchiectaisis",COMPLETED,OTHER,NA,2014-04-01,non-cystic fibrosis bronchiectasis
NCT02096315,"Safety, Efficacy and PK/PD of POL7080 in Patients With Exacerbation of Non-cystic Fibrosis Bronchiectasis.",TERMINATED,INDUSTRY,PHASE2,2013-12,non-cystic fibrosis bronchiectasis
NCT02104245,Phase 3 Study With Ciprofloxacin Dispersion for Inhalation in Non-CF Bronchiectasis (ORBIT-4),COMPLETED,INDUSTRY,PHASE3,2014-05-28,non-cystic fibrosis bronchiectasis
NCT02106832,Ciprofloxacin Dry Powder for Inhalation (DPI) in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),COMPLETED,INDUSTRY,PHASE3,2014-04-30,non-cystic fibrosis bronchiectasis
NCT02324855,Long-term Airway Clearance Therapy in Non-cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,NA,2015-10,non-cystic fibrosis bronchiectasis
NCT02392663,Sputum Clearance Effects of Hypertonic Saline in Non-cystic Fibrosis Bronchiectasis,COMPLETED,OTHER,NA,2015-03,non-cystic fibrosis bronchiectasis
NCT02411981,Effects of Chest Physiotherapy (CPT) on Lung Clearance Index (LCI) in Non Cystic Fibrosis (CF) Bronchiectasis,COMPLETED,OTHER,NA,2015-04,non-cf bronchiectasis
