start_year,n_all,n_likely_ncfb,n_cf_like,source_id
1993,1,0,1,clinicaltrials_gov_api_v2
1995,6,0,6,clinicaltrials_gov_api_v2
1996,3,0,3,clinicaltrials_gov_api_v2
1997,2,0,2,clinicaltrials_gov_api_v2
1998,1,0,1,clinicaltrials_gov_api_v2
1999,4,0,4,clinicaltrials_gov_api_v2
2000,5,0,5,clinicaltrials_gov_api_v2
2001,13,0,13,clinicaltrials_gov_api_v2
2002,5,0,5,clinicaltrials_gov_api_v2
2003,16,0,16,clinicaltrials_gov_api_v2
2004,17,1,16,clinicaltrials_gov_api_v2
2005,23,0,23,clinicaltrials_gov_api_v2
2006,38,2,36,clinicaltrials_gov_api_v2
2007,38,2,36,clinicaltrials_gov_api_v2
2008,61,1,60,clinicaltrials_gov_api_v2
2009,56,3,53,clinicaltrials_gov_api_v2
2010,55,4,51,clinicaltrials_gov_api_v2
2011,39,3,36,clinicaltrials_gov_api_v2
2012,53,1,52,clinicaltrials_gov_api_v2
2013,49,5,44,clinicaltrials_gov_api_v2
2014,56,5,51,clinicaltrials_gov_api_v2
2015,76,10,66,clinicaltrials_gov_api_v2
2016,73,5,68,clinicaltrials_gov_api_v2
2017,66,3,63,clinicaltrials_gov_api_v2
2018,63,6,57,clinicaltrials_gov_api_v2
2019,64,5,59,clinicaltrials_gov_api_v2
2020,57,7,50,clinicaltrials_gov_api_v2
2021,59,4,55,clinicaltrials_gov_api_v2
2022,48,3,45,clinicaltrials_gov_api_v2
2023,44,4,40,clinicaltrials_gov_api_v2
2024,47,8,39,clinicaltrials_gov_api_v2
2025,35,7,28,clinicaltrials_gov_api_v2
2026,30,9,21,clinicaltrials_gov_api_v2
2027,1,0,1,clinicaltrials_gov_api_v2
,5,0,5,clinicaltrials_gov_api_v2
