shift_component,shift,need_id,display_score,rank,weight_used
patient_need,minus_10pp,N5,77,1,0.15
patient_need,minus_10pp,N1,71,2,0.15
patient_need,minus_10pp,N4,67,3,0.15
patient_need,minus_10pp,N3,62,4,0.15
patient_need,minus_10pp,N8,62,5,0.15
patient_need,minus_10pp,N7,61,6,0.15
patient_need,minus_10pp,N6,60,7,0.15
patient_need,minus_10pp,N2,47,8,0.15
patient_need,plus_10pp,N5,77,1,0.35
patient_need,plus_10pp,N1,73,2,0.35
patient_need,plus_10pp,N4,65,3,0.35
patient_need,plus_10pp,N3,62,4,0.35
patient_need,plus_10pp,N8,62,5,0.35
patient_need,plus_10pp,N7,61,6,0.35
patient_need,plus_10pp,N6,60,7,0.35
patient_need,plus_10pp,N2,45,8,0.35
treatment_gap,minus_10pp,N5,79,1,0.1
treatment_gap,minus_10pp,N1,68,2,0.1
treatment_gap,minus_10pp,N4,67,3,0.1
treatment_gap,minus_10pp,N7,64,4,0.1
treatment_gap,minus_10pp,N3,62,5,0.1
treatment_gap,minus_10pp,N8,62,6,0.1
treatment_gap,minus_10pp,N6,60,7,0.1
treatment_gap,minus_10pp,N2,47,8,0.1
treatment_gap,plus_10pp,N1,76,1,0.3
treatment_gap,plus_10pp,N5,75,2,0.3
treatment_gap,plus_10pp,N4,65,3,0.3
treatment_gap,plus_10pp,N3,62,4,0.3
treatment_gap,plus_10pp,N8,62,5,0.3
treatment_gap,plus_10pp,N6,60,6,0.3
treatment_gap,plus_10pp,N7,58,7,0.3
treatment_gap,plus_10pp,N2,45,8,0.3
competitive_whitespace,minus_10pp,N1,78,1,0.1
competitive_whitespace,minus_10pp,N5,74,2,0.1
competitive_whitespace,minus_10pp,N4,64,3,0.1
competitive_whitespace,minus_10pp,N3,62,4,0.1
competitive_whitespace,minus_10pp,N6,60,5,0.1
competitive_whitespace,minus_10pp,N8,60,6,0.1
competitive_whitespace,minus_10pp,N7,56,7,0.1
competitive_whitespace,minus_10pp,N2,47,8,0.1
competitive_whitespace,plus_10pp,N5,80,1,0.3
competitive_whitespace,plus_10pp,N4,68,2,0.3
competitive_whitespace,plus_10pp,N1,66,3,0.3
competitive_whitespace,plus_10pp,N7,66,4,0.3
competitive_whitespace,plus_10pp,N8,64,5,0.3
competitive_whitespace,plus_10pp,N3,62,6,0.3
competitive_whitespace,plus_10pp,N6,60,7,0.3
competitive_whitespace,plus_10pp,N2,45,8,0.3
tractability,minus_10pp,N5,79,1,0.05
tractability,minus_10pp,N1,71,2,0.05
tractability,minus_10pp,N4,67,3,0.05
tractability,minus_10pp,N7,63,4,0.05
tractability,minus_10pp,N3,62,5,0.05
tractability,minus_10pp,N8,62,6,0.05
tractability,minus_10pp,N6,60,7,0.05
tractability,minus_10pp,N2,42,8,0.05
tractability,plus_10pp,N5,75,1,0.25
tractability,plus_10pp,N1,73,2,0.25
tractability,plus_10pp,N4,65,3,0.25
tractability,plus_10pp,N3,62,4,0.25
tractability,plus_10pp,N8,62,5,0.25
tractability,plus_10pp,N6,60,6,0.25
tractability,plus_10pp,N7,59,7,0.25
tractability,plus_10pp,N2,50,8,0.25
economic,minus_10pp,N5,77,1,0.0
economic,minus_10pp,N1,71,2,0.0
economic,minus_10pp,N4,64,3,0.0
economic,minus_10pp,N8,64,4,0.0
economic,minus_10pp,N7,63,5,0.0
economic,minus_10pp,N3,60,6,0.0
economic,minus_10pp,N6,60,7,0.0
economic,minus_10pp,N2,47,8,0.0
economic,plus_10pp,N5,77,1,0.2
economic,plus_10pp,N1,73,2,0.2
economic,plus_10pp,N4,68,3,0.2
economic,plus_10pp,N3,64,4,0.2
economic,plus_10pp,N6,60,5,0.2
economic,plus_10pp,N8,60,6,0.2
economic,plus_10pp,N7,59,7,0.2
economic,plus_10pp,N2,45,8,0.2
why_now,minus_10pp,N5,77,1,0.0
why_now,minus_10pp,N1,71,2,0.0
why_now,minus_10pp,N4,67,3,0.0
why_now,minus_10pp,N3,62,4,0.0
why_now,minus_10pp,N8,62,5,0.0
why_now,minus_10pp,N6,60,6,0.0
why_now,minus_10pp,N7,59,7,0.0
why_now,minus_10pp,N2,47,8,0.0
why_now,plus_10pp,N5,77,1,0.2
why_now,plus_10pp,N1,73,2,0.2
why_now,plus_10pp,N4,65,3,0.2
why_now,plus_10pp,N7,63,4,0.2
why_now,plus_10pp,N3,62,5,0.2
why_now,plus_10pp,N8,62,6,0.2
why_now,plus_10pp,N6,60,7,0.2
why_now,plus_10pp,N2,45,8,0.2
