nct_id,name,class
NCT01100892,John Hunter Children's Hospital,OTHER
NCT01100892,"Lady Cilento Children's Hospital, Brisbane",OTHER
NCT01100892,"Women's and Children's Hospital, Adelaide",UNKNOWN
NCT01100892,Children's Hospital Colorado,OTHER
NCT02649751,ManRos Therapeutics,UNKNOWN
NCT02649751,"Cyclacel Pharmaceuticals, Inc.",INDUSTRY
NCT03052231,AbbVie,INDUSTRY
NCT06659757,Avance Clinical Pty Ltd.,INDUSTRY
NCT02252601,Nottingham University Hospitals NHS Trust,OTHER
NCT02252601,Heart of England NHS Trust,OTHER
NCT02252601,Birmingham Women's and Children's NHS Foundation Trust,OTHER
NCT04553419,The Hospital for Sick Children,OTHER
NCT03020719,Cystic Fibrosis Foundation,OTHER
NCT03045198,University of Bonn,OTHER
NCT03045198,Goethe University,OTHER
NCT03265288,Cystic Fibrosis Foundation,OTHER
NCT02054156,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT01222273,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT04460586,Paratek Pharmaceuticals Inc,INDUSTRY
NCT03948958,B. Braun Medical SA,INDUSTRY
NCT06280391,Regeneron Pharmaceuticals,INDUSTRY
NCT01880723,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT00706004,"Takeda Pharmaceuticals North America, Inc.",INDUSTRY
NCT05314764,Shionogi Inc.,INDUSTRY
NCT05314764,"Keystone Bioanalytical, Inc.",UNKNOWN
NCT05314764,Indiana University Health Methodist Hospital,OTHER
NCT05314764,University of Pittsburgh Medical Center,OTHER
NCT05314764,University of Texas,OTHER
NCT04825067,Massachusetts General Hospital,OTHER
NCT02128984,Quantum Experimental,UNKNOWN
NCT02128984,Peruvian Clinical Research,OTHER
NCT00298922,Cystic Fibrosis Foundation,OTHER
NCT00298922,Pfizer,INDUSTRY
NCT01353105,Fundação de Amparo à Pesquisa do Estado de São Paulo,OTHER_GOV
NCT01140451,Cystic Fibrosis Foundation,OTHER
NCT00686361,Cystic Fibrosis Foundation,OTHER
NCT00008775,Cystic Fibrosis Foundation,OTHER
NCT01710644,Parexel,INDUSTRY
NCT03522480,Albany Medical College,OTHER
NCT03522480,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT00457821,Cystic Fibrosis Foundation,OTHER
NCT02170025,Merck Sharp & Dohme LLC,INDUSTRY
NCT02084043,Université Catholique de Louvain,OTHER
NCT02084043,University of Applied Sciences of Western Switzerland,OTHER
NCT02084043,"School of Gestion and Engineering Vaud, Switzerland",UNKNOWN
NCT07632768,Indiana Clinical and Translational Sciences Institute,OTHER
NCT00004533,University of Florida,OTHER
NCT00332215,"Cellular Sciences, inc.",INDUSTRY
NCT00220259,Cystic Fibrosis Trust,OTHER
NCT00220259,GlaxoSmithKline,INDUSTRY
NCT02934698,Vertex Pharmaceuticals Incorporated,INDUSTRY
NCT00004287,University of Pennsylvania,OTHER
NCT04966234,University of Exeter,OTHER
NCT04966234,Radboud University Medical Center,OTHER
NCT04966234,Consorzio per Valutazioni Biologiche e Farmacologiche,OTHER
NCT01608555,Chiesi Farmaceutici S.p.A.,INDUSTRY
NCT00004315,"Children's Hospital Medical Center, Cincinnati",OTHER
NCT00164138,University of Melbourne,OTHER
NCT00153634,Cystic Fibrosis Foundation,OTHER
NCT01309178,Universität Duisburg-Essen,OTHER
NCT01309178,University of Ulm,OTHER
NCT00757237,Chiltern International Inc.,INDUSTRY
NCT00757237,"ClinPhone, Inc.",INDUSTRY
NCT00757237,Covance,INDUSTRY
NCT02614300,Sociedad Española de Neumología y Cirugía Torácica,OTHER
NCT02564354,European Commission,OTHER
NCT02415959,AbbVie,INDUSTRY
NCT02415959,LKF Laboratorium für Klinische Forschung GmbH,UNKNOWN
NCT02415959,Analytical Biochemical Laboratory,UNKNOWN
NCT02415959,Parexel,INDUSTRY
NCT02415959,Datamap,INDUSTRY
NCT02415959,"Linical Co., Ltd.",INDUSTRY
NCT00157183,"National Health and Medical Research Council, Australia",OTHER
NCT00157183,Monash University,OTHER
NCT00157183,Cystic Fibrosis Federation Australia,OTHER
NCT00219895,Cystic Fibrosis Foundation,OTHER
NCT03500575,Italian Cystic Fibrosis Research Foundation,OTHER
NCT07414810,Georgia Institute of Technology,OTHER
NCT07414810,The Consortium for Technology & Innovation in Pediatrics (CTIP),UNKNOWN
NCT02532764,European Commission,OTHER
NCT01705145,Cystic Fibrosis Foundation,OTHER
NCT02668575,Cystic Fibrosis Foundation,OTHER
NCT00546663,Cystic Fibrosis Foundation,OTHER
NCT05723445,Cystic Fibrosis Foundation,OTHER
NCT01946412,Cystic Fibrosis Foundation,OTHER
NCT02083263,Karolinska Institutet,OTHER
NCT06654752,Cystic Fibrosis Foundation,OTHER
NCT01072721,URC-CIC Paris Descartes Necker Cochin,OTHER
NCT03000348,"Agility Clinical, Inc.",INDUSTRY
NCT03000348,PSR Group B.V.,INDUSTRY
NCT03698448,Imperial College London,OTHER
NCT03698448,Cystic Fibrosis Foundation,OTHER
NCT03698448,European Cystic Fibrosis Society,UNKNOWN
NCT03698448,University Hospital of Cologne,OTHER
NCT03698448,Cystic Fibrosis Europe,UNKNOWN
NCT00506688,Cystic Fibrosis Foundation,OTHER
NCT01859390,Cystic Fibrosis Foundation,OTHER
NCT01859390,Yasoo Health,INDUSTRY
NCT01091025,Royal Brompton & Harefield NHS Foundation Trust,OTHER
NCT01987271,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior.,OTHER_GOV
NCT03391414,Cystic Fibrosis Foundation,OTHER
NCT07088614,Luis Calvo Mackenna Children´s Hospital,OTHER
NCT01499914,URC-CIC Paris Descartes Necker Cochin,OTHER
NCT00006063,Indiana University,OTHER
NCT02563197,Novartis,INDUSTRY
NCT05229640,Trustees of Dartmouth College,OTHER
NCT02163681,Xemed LLC,INDUSTRY
NCT04489186,University Hospitals Cleveland Medical Center,OTHER
NCT04923880,MJHS Institute for Innovation in Palliative Care,OTHER
NCT04923880,Emory University,OTHER
NCT04923880,Stony Brook University,OTHER
NCT04923880,Feinstein Institute for Medical Research,OTHER
NCT00823238,Cystic Fibrosis Foundation,OTHER
NCT00662714,Novo Nordisk A/S,INDUSTRY
NCT00662714,Mucoviscidose-ABCF2,UNKNOWN
NCT00662714,Assistance Publique - Hôpitaux de Paris,OTHER
NCT02894684,University of Liverpool,OTHER
NCT07275905,Cystic Fibrosis Foundation,OTHER
NCT01619657,German Center for Lung Research,OTHER
NCT01270074,Telethon Kids Institute,OTHER
NCT06606457,University of Kansas Medical Center,OTHER
NCT04533646,Wake Forest University Health Sciences,OTHER
NCT00450073,Emory University,OTHER
NCT00930982,Novartis,INDUSTRY
NCT00255242,Cystic Fibrosis Foundation,OTHER
NCT03938324,National Institutes of Health (NIH),NIH
NCT03938324,National Institute of Nursing Research (NINR),NIH
NCT01183286,University of Miami,OTHER
NCT01183286,Columbia University,OTHER
NCT01183286,University of Tennessee,OTHER
NCT01183286,Children's National Research Institute,OTHER
NCT03635762,Cystic Fibrosis Foundation,OTHER
NCT03635762,Johns Hopkins University,OTHER
NCT03635762,"Children's Hospital Medical Center, Cincinnati",OTHER
NCT06322446,Carlos III Health Institute,OTHER_GOV
NCT06322446,Universidad Europea de Madrid,OTHER
NCT06322446,Hospital Universitario La Paz,OTHER
NCT06322446,Hospital Universitario Ramon y Cajal,OTHER
NCT06322446,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain",OTHER
NCT01707290,Cystic Fibrosis Foundation,OTHER
NCT02781610,Cystic Fibrosis Foundation,OTHER
NCT02781610,CF Therapeutics Development Network Coordinating Center,NETWORK
NCT02781610,Medical University of South Carolina,OTHER
NCT02781610,University of Washington,OTHER
NCT07071324,"Boston Children's Hospital, Boston, MA, USA",OTHER
NCT07071324,National Jewish Health,OTHER
NCT07071324,Cystic Fibrosis Foundation,OTHER
NCT06996951,American Rhinologic Society,OTHER
NCT04922255,Cystic Fibrosis Foundation,OTHER
NCT01837589,Vaincre la Mucoviscidose,OTHER
NCT05157646,Cystic Fibrosis Foundation,OTHER
NCT00004747,Vanderbilt University Medical Center,OTHER
NCT04732195,Georgia Institute of Technology,OTHER
NCT01991028,AlgiPharma AS,INDUSTRY
NCT07175012,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,OTHER
NCT00744250,"University of North Carolina, Chapel Hill",OTHER
NCT00970346,Smerud Medical Research International AS,OTHER
NCT03227094,Université de Montréal,OTHER
NCT03227094,Vertex Pharmaceuticals Incorporated,INDUSTRY
NCT01117012,Cystic Fibrosis Foundation,OTHER
NCT06512064,"National Heart, Lung, and Blood Institute (NHLBI)",NIH
NCT06512064,University of Pittsburgh,OTHER
NCT01417481,Hospital Infantil de Mexico Federico Gomez,OTHER
NCT01417481,Instituto Mexicano del Seguro Social,OTHER_GOV
NCT01155752,"Genentech, Inc.",INDUSTRY
NCT02106832,Novartis,INDUSTRY
NCT00406536,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT02378467,Cystic Fibrosis Foundation,OTHER
NCT02518672,Centre de recherche du Centre hospitalier universitaire de Sherbrooke,OTHER
NCT02518672,Solutex GC S.L.,INDUSTRY
NCT05140967,Fachklinik Satteldüne der DRV Nord,UNKNOWN
