nct_id,intervention_type,intervention_name,description
NCT01100892,DRUG,Once-daily insulin detemir,Insulin detemir is a long-acting insulin analog. Starting dose 0.1 units/kg/day (titrated according to the results of home blood glucose monitoring).
NCT02535130,DEVICE,Positive expiratory pressure,
NCT02535130,DRUG,amikacine nebulization,
NCT02649751,DRUG,Roscovitine,"Roscovitine is an experimental drug candidate in the family of pharmacological cyclin-dependent kinase (CDK) inhibitors that preferentially inhibit multiple enzyme targets including CDK2, CDK7 and CDK9. Seliciclib is a 2,6,9-substituted purine analog."
NCT02649751,DRUG,Placebo,The placebo treatment is lactose capsule.
NCT03052231,DEVICE,caremessage,Central to the mobile health information service is the interactive and personalized text-based message system that delivers actionable and tailored health content to participants: office visit appointment reminders; medication adherence reminders; and general health education messages.
NCT06659757,DRUG,KIT2014,KIT2014 will be administered by inhalation with a nebuliser
NCT06659757,OTHER,Placebo,Placebo will be administered by inhalation with a nebuliser
NCT02252601,OTHER,HFDT test,
NCT02252601,OTHER,Pure tone Audiogram,
NCT03734822,OTHER,End tidal CO2 (EtCO2),End tidal CO2 (EtCO2) is monitored through the endotracheal tube during general anesthesia.
NCT03734822,DEVICE,Transcutaneous CO2 (TCO2),Continuous and noninvasive real-time monitoring of transcutaneous CO2.
NCT03734822,DIAGNOSTIC_TEST,Capillary CO2 (CapCO2),Capillary CO2 collected by finger stick and run on the i-STAT handheld blood analyzer.
NCT03734822,DIAGNOSTIC_TEST,Arterial blood gas (ABG),Arterial blood gas collected from the radial artery and run on the i-STAT handheld blood analyzer.
NCT04553419,DRUG,Cephalexin,Cephalexin capsule: TEVA Cephalexin Cephalexin suspension: LUPIN Cephalexin
NCT04553419,DRUG,Placebo,Cellulose capsules or suspension
NCT02131857,BEHAVIORAL,active interventional program based on Mindfulness training,active interventional program based on Mindfulness training
NCT03020719,DRUG,Oral Glutathione,Oral Glutathione oral powder
NCT03020719,DRUG,Placebo,Placebo oral powder
NCT02449785,DEVICE,"MR measurements of lung morphological changes in cystic fibrosis (Avanto dot, Siemens)",
NCT02449785,DEVICE,CT measurements of lung morphological changes in cystic fibrosis,
NCT03737630,DEVICE,Inspiratory muscle training,This group will initiate inspiratory muscle training with 40% of the MIP load and each week will have a load increase of 10% of the initial MIP up to 4 weeks of training
NCT01641822,DRUG,AZLI,Aztreonam for Inhalation Solution (AZLI) 75 mg 3 times daily combined with diluent administered using an eFlow nebulizer
NCT01641822,DRUG,Placebo to match AZLI,Placebo to match AZLI 3 times daily combined with diluent administered using an eFlow nebulizer
NCT01641822,DRUG,Tobramycin inhalation solution,Tobramycin inhalation solution (TIS) 300 mg 2 times daily using a PARI® LC Plus nebulizer and DeVilbiss Pulmo-Aide® air compressor
NCT01775137,DRUG,TBM100,Tobramycin inhalation powder (TIP) 112mg/b.i.d
NCT04468100,BIOLOGICAL,Tigerase®,2.5 mL (2.5 mg) dornase alfa nebulized once daily for 168 (+/-7) days
NCT04468100,BIOLOGICAL,Pulmozyme®,2.5 mL (2.5 mg) dornase alfa nebulized once daily for 168 (+/-7) days
NCT02566044,OTHER,Placebo,Placebo
NCT02566044,DRUG,QBW276,0.3 mg and 1.5 mg strengths
NCT03045198,DRUG,Azithromycin,
NCT00605761,DRUG,SB656933,50 mg treatment
NCT00605761,DRUG,SB656933,150 mg treatment
NCT02707562,DRUG,GLPG1837 dose 1,"two GLPG1837 tablets in the morning and two GLPG1837 tablets in the evening, for one week"
NCT02707562,DRUG,GLPG1837 dose 2,"two GLPG1837 tablets in the morning and two GLPG1837 tablets in the evening, for one week"
NCT02707562,DRUG,GLPG1837 dose 3,"two GLPG1837 tablets in the morning and two GLPG1837 tablets in the evening, for two weeks"
NCT02137382,DRUG,Creon®,active comparator
NCT02137382,DRUG,Creon N,experimental drug
NCT03800459,BEHAVIORAL,family empowerment program,"The empowerment program-nursing interventions were given in 6 sessions in the experimental group Session 1: Individualized training: General information about CF, respiratory system involvement and treatment process, airway cleaning in CF, drug applications (45-50 min) Session 2:Phone calls: Motivational and reminder interviews were carried out in order to reinforce the content of the first individual training (15 min).Session 3:Phone calls:Motivational and reminder interviews were carried out in order to reinforce the content of the first individual training (15 min) Session 4:Individualized training:protection from infections, nutrition and psychosocial support (45 min) Session 5:Phone calls: Motivational and reminder interviews were carried out in order to reinforce the content of the second individual training. (10 min) Session 6:Phone calls: Motivational and reminder interviews were carried out in order to reinforce the content of the second individual training. (10 min)"
NCT00006169,BEHAVIORAL,Behavioral Treatment,
NCT03265288,DRUG,LAU-7b,"LAU-7b will be administered orally once-a-day with the first meal of the day as cycles of 21 days on, 7 days off, for a total of 6 planned cycles."
NCT03265288,DRUG,Placebo oral capsule,"Placebo will be administered orally once-a-day with the first meal of the day as cycles of 21 days on, 7 days off, for a total of 6 planned cycles."
NCT02054156,DRUG,azithromycin,"3 times weekly, oral suspension, 10 mg/kg/dose up to 500 mg, for 18 months"
NCT02054156,DRUG,placebo,"3 times weekly, oral suspension, volume-matched to azithromycin, for 18 months"
NCT02054156,DRUG,Tobramycin solution for inhalation,"300 mg, twice daily for 28 days when respiratory cultures are found positive for Pa at study visits for 18 months"
NCT01222273,DIETARY_SUPPLEMENT,cholecalciferol (Vitamin D3),"4,000 IU of cholecalciferol (Vitamin D3) orally every day for six months"
NCT01684683,DRUG,Theophylline,Theophylline 0.1 bid
NCT01684683,DRUG,Placebo(for Theophylline),Starch tablet manufactured to Theophylline 100mg (Theophylline Stained-Release Tablet)
NCT04460586,DRUG,Omadacycline Injection [Nuzyra],Participants will receive single dose of omadacycline 100mg IV followed by a 1-week washout and receipt of single dose omadacycline 300 mg PO.
NCT04460586,DRUG,Omadacycline Oral Tablet [Nuzyra],Participants will receive single dose of omadacycline 100mg IV followed by a 1-week washout and receipt of single dose omadacycline 300 mg PO.
NCT06299709,DRUG,VNZ/TEZ/D-IVA,FDC tablet for oral administration.
NCT06299709,DRUG,VNZ/TEZ/D-IVA,FDC granules for oral administration.
NCT01314716,DRUG,AZLI,AZLI 75 mg reconstituted with diluent and administered via nebulizer three times daily
NCT01314716,DRUG,Placebo,Placebo to match AZLI administered via nebulizer three times daily
NCT03597347,DRUG,Molgramostim nebulizer solution,300 µg / dose molgramostim (recombinant human GM-CSF) for inhalation
NCT03597347,DEVICE,PARI eFlow nebulizer system,PARI eFlow nebulizer system
NCT03822455,DRUG,OligoG DPI,OligoG Dry Powder for Inhalation
NCT03948958,OTHER,Evaluation of the catheter function,Catheter function will be measured by the CINAS (Catheter injection and aspiration classification)
NCT03948958,OTHER,"Catheter tip location, thrombus, sleeve and device damage visualization","Catheter tip location, thrombus, sleeve and device damage will be visualized by linogram"
NCT03948958,OTHER,Catheter-related colonization,TIVAD colonization will be investigated by microbiological culture of the tip and chamber content
NCT03948958,OTHER,patient-reported outcome measures (PROM) related to the presence of the TIVAD,"PROM will evaluate patient's experiences regarding the TIVAD insertion, dwell time, and removal using the Leuven Patient Reported Experiences at Port removal (Leuven PREP) questionnaire."
NCT03948958,OTHER,Macroscopic evaluation of the port chamber and catheter,Macroscopic evaluation of the port chamber and catheter will be performed after port removal.
NCT00721071,DRUG,Hypertonic Saline,"After each subject has performed post-bronchodilator spirometry, he/she will inhale increasing concentrations of 3, 4, and 5% of hypertonic saline for 7 minutes each for 3 cycles until expectorating a sufficient sputum sample."
NCT00004471,GENETIC,pGT-1 gene lipid complex,
NCT06280391,DRUG,Itepekimab (SAR440340),Pharmaceutical form: solution for injection in pre-filled syringe. Route of administration: subcutaneous
NCT06280391,DRUG,Placebo,Pharmaceutical form: solution for injection in pre-filled syringe. Route of administration: subcutaneous
NCT01684410,BIOLOGICAL,Alpha-1 HC 100 mg,"Alpha-1 HC is a sterile, liquid preparation of purified alpha1-proteinase inhibitor prepared from pooled human plasma. Alpha-1 HC 100 mg inhaled once daily for 21 days for a total of 21 inhaled treatments."
NCT01684410,BIOLOGICAL,Placebo,"Phosphate Buffer Saline with Polysorbate (placebo) composed of the same elements listed for Alpha-1 HC, minus the 50 mg/mL of Alpha-1 HC. Placebo inhaled once daily for 21 days for a total of 21 inhaled treatments."
NCT01684410,BIOLOGICAL,Alpha-1 HC 200 mg,"Alpha-1 HC is a sterile, liquid preparation of purified alpha1-proteinase inhibitor prepared from pooled human plasma. Alpha-1 HC 200 mg inhaled once daily for 21 days for a total of 21 inhaled treatments."
