nct_id,brief_title,official_title,acronym,lead_sponsor_name,lead_sponsor_class,phase,overall_status,study_type,enrollment_count,enrollment_type,start_date,primary_completion_date,completion_date,why_stopped,sex,minimum_age,maximum_age,std_ages,healthy_volunteers,eligibility_criteria,brief_summary,conditions,has_results,is_fda_regulated_drug,primary_outcomes,retrieved_at,source_id
NCT00004287,Phase I Study of the Third Generation Adenovirus H5.001CBCFTR in Patients With Cystic Fibrosis,,,National Center for Research Resources (NCRR),NIH,PHASE1,COMPLETED,INTERVENTIONAL,14,,1995-11,,,,ALL,18 Years,,ADULT;OLDER_ADULT,0,"PROTOCOL ENTRY CRITERIA:

--Disease Characteristics-- Cystic fibrosis diagnosed as follows: Sweat sodium or chloride greater than 60 mEq/L by pilocarpine iontophoresis or cystic fibrosis genotype Clinical manifestations Estimated 2-year survival greater than 50%, i.e.: FEV1 at least 30% of predicted PaO2 greater than 55 mm Hg on room air PaCO2 less than 50 mm Hg on room air --Prior/Concurrent Therapy-- At least 2 months since systemic glucocorticoids At least 90 days since participation in investigational therapeutic study --Patient Characteristics-- Pulmonary: No pneumothorax within 12 months No asthma or allergic bronchopulmonary aspergillosis requiring glucocorticoids within 2 months No sputum pathogens unless sensitive to at least 2 antibiotics No hemoptysis of more than 250 mL blood over 24 hours within 1 year Other: No active adenoviral infection Ad5 (or similar type) antibody seropositive No other contraindication to protocol participation, e.g.: Drug abuse Alcoholism Psychiatric instability Inadequate motivation Documented azoospermia (men) Bilateral tubal ligation or hysterectomy (women) Screening exams within 4 weeks prior to registration","OBJECTIVES:

I. Assess the safety and feasibility of gene transfer with the third generation adenovirus H5.001CBCFTR in patients with cystic fibrosis.",Cystic Fibrosis,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004315,"Phase II Pilot Study to Compare the Bioavailability of Buffered, Enteric-Coated Ursodiol With Unmodified Ursodiol for Chronic Cholestatic Liver Disease and Cystic Fibrosis-Associated Liver Disease",,,National Center for Research Resources (NCRR),NIH,PHASE2,UNKNOWN,INTERVENTIONAL,20,,1995-11,,,,ALL,4 Months,,CHILD;ADULT;OLDER_ADULT,0,"PROTOCOL ENTRY CRITERIA:

--Disease Characteristics--

Chronic cholestatic liver disease

Cystic fibrosis-associated liver disease

--Prior/Concurrent Therapy--

Usual and customary diet maintained throughout study, e.g., medium-chain triglyceride oil

--Patient Characteristics--

Pulmonary: No serious respiratory deficiency

No acute illness

No inability to swallow

No fertile women","OBJECTIVES: I. Compare the bioavailability of polymer-coated and buffered ursodiol (ursodeoxycholic acid) to unmodified ursodiol in patients with cystic fibrosis-associated liver disease or chronic cholestatic liver disease.

II. Compare the differences in pruritus, weight gain, and liver function for both treatments.",Cystic Fibrosis | Gastrointestinal Diseases | Cholestasis,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004428,Phase I Randomized Study of CPX for the Treatment of Adult Patients With Mild Cystic Fibrosis,,,FDA Office of Orphan Products Development,FED,PHASE1,COMPLETED,INTERVENTIONAL,35,,1997-09,,1999-10,,ALL,18 Years,,ADULT;OLDER_ADULT,0,"PROTOCOL ENTRY CRITERIA:

* Mild cystic fibrosis
* Not pregnant or nursing Negative pregnancy test","OBJECTIVES: I. Evaluate the safety of ascending doses of CPX administered to adult patients with mild cystic fibrosis.

II. Evaluate the pharmacokinetics of ascending doses of CPX in this patient population.",Cystic Fibrosis,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004440,Study of Ibuprofen to Preserve Lung Function in Patients With Cystic Fibrosis,,,FDA Office of Orphan Products Development,FED,NA,COMPLETED,INTERVENTIONAL,75,,1996-08,,1999-06,,ALL,5 Years,,CHILD;ADULT;OLDER_ADULT,1,"PROTOCOL ENTRY CRITERIA:

--Disease Characteristics--

Confirmed diagnosis of cystic fibrosis (CF) based on: Sweat chloride greater than 60 mEq/L AND Typical pulmonary and/or gastrointestinal manifestation of CF OR Healthy volunteers

--Prior/Concurrent Therapy--

At least 30 days since medications with anti-neutrophil or anti-inflammatory effect (e.g., aspirin, nonsteroidal anti-inflammatory drugs \[NSAIDs\], corticosteroids, macrolide antibiotics)

--Patient Characteristics--

Age: Patients with cystic fibrosis (CF): 5 and over; Healthy volunteers: 18 and over

Hematopoietic: No significant history of hematologic disease

Hepatic: No significant history of hepatic disease

Renal: No significant history of renal disease

Cardiovascular: No significant history of cardiovascular disease

Pulmonary: See Disease Characteristics

Neurologic: No significant history of neurologic disease

Other: Not pregnant; No significant history of peptic ulcer disease; Patients with CF free of any acute illness within 14 days; No prior hypersensitivity to any NSAID","OBJECTIVES:

I. Determine the effect of different doses of ibuprofen on neutrophil (polymorphonuclear leukocyte; PMN) delivery to a mucosal surface (the oral mucosa) in patients with cystic fibrosis and healthy controls.

II. Determine the duration of effect (and possible rebound effect) of ibuprofen on PMN delivery to a mucosal surface in these patients.",Cystic Fibrosis,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004441,Study of Tauroursodeoxycholic Acid for Hepatobiliary Disease in Cystic Fibrosis,,,"Children's Hospital Medical Center, Cincinnati",OTHER,NA,COMPLETED,INTERVENTIONAL,39,ESTIMATED,1997-09,,2001-09,,ALL,,,CHILD;ADULT;OLDER_ADULT,0,"PROTOCOL ENTRY CRITERIA:

--Disease Characteristics--

* Cystic fibrosis-associated liver disease, defined by at least one of the following criteria: (1) Documented increase in serum concentrations of any of the liver enzymes (at least once in the preceding year) ALT at least twice normal AST at least 1.5 times normal Alkaline phosphatase at least 1.5 times normal GGT at least 1.5 times normal (2) Persistent hepatomegaly of more than 6 months duration defined by percussed liver span greater than 1 SEM for age (3) Splenomegaly, defined as a palpable spleen greater than 2.0 cm below the left costal margin (4) Abnormalities of ultrasound scan (increased size, dishomogeneous echogenicity, nodular liver, irregular margins, splenomegaly) within 6 months prior to study entry
* Patients enrolled in the first part of the study (objective I) are eligible to participate in the second part (objective II)

--Prior/Concurrent Therapy--

* At least 3 months since prior ursodiol
* At least 3 months since treatment with drug with choleretic properties or effects that influence bile acid metabolism

--Patient Characteristics--

* Hepatic: No decompensated cirrhosis No hepatic neoplasm or cholelithiasis
* Pulmonary: No significantly impaired pulmonary function with FEV1 less than 50%
* Other: At least 15 kg body weight No severely compromised clinical or nutritional state","OBJECTIVES: I. Determine the optimum dose of tauroursodeoxycholic acid (TUDCA) required to achieve maximal bioavailability for patients with cystic fibrosis-associated liver disease.

II. Compare optimized doses of TUDCA with ursodiol (ursodeoxycholic acid; UDCA) for effects on biliary bile acid composition and metabolism, serum biochemistries, fat absorption, and fat-soluble vitamin status in these patients.",Cystic Fibrosis,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004471,Phase I Pilot Study of Gene Therapy for Cystic Fibrosis Using Cationic Liposome Mediated Gene Transfer,,,University of Alabama at Birmingham,OTHER,PHASE1,COMPLETED,INTERVENTIONAL,9,,1995-08,2001-05,,,ALL,16 Years,,CHILD;ADULT;OLDER_ADULT,0,"* Cystic fibrosis patients
* Not pregnant Fertile patients must use effective contraception","OBJECTIVES:

Determine whether copies of the cystic fibrosis gene (pGT-1) can be delivered to the cells lining the nose of cystic fibrosis patients using cationic liposome (DMRIE/DOPE) mediated gene transfer.",Cystic Fibrosis,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004489,Randomized Study of Alendronate in Adult Patients With Cystic Fibrosis Related Osteoporosis,,,University of North Carolina,OTHER,NA,COMPLETED,INTERVENTIONAL,60,ESTIMATED,1998-10,,2002-09,,ALL,18 Years,45 Years,ADULT,0,"PROTOCOL ENTRY CRITERIA:

--Disease Characteristics--

* Diagnosis of cystic fibrosis Mild to moderate lung disease
* At least one site specific (spine or femur) bone mineral density representing low bone mass or osteopenia (greater than 1 standard deviation below peak bone mass)

--Prior/Concurrent Therapy--

* Endocrine therapy: At least 3 months since prior corticosteroids

--Patient Characteristics--

* Performance status: Ambulatory
* Renal: Creatinine no greater than 3 mg/dL No renal failure
* Other: No history of esophagitis No allergies to alendronate Not pregnant Fertile female patients must use effective barrier contraception or progestin only oral contraceptives (e.g., norethindrone) Ability to comply with treatment No intestinal problems other than cystic fibrosis","OBJECTIVES: I. Determine the bioavailability and biologic effect of alendronate on bone metabolism in patients with cystic fibrosis.

II. Assess the safety and efficacy of this treatment regimen in improving osteoporosis in this patient population.",Osteoporosis | Cystic Fibrosis,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004533,Phase I Randomized Study of Adeno-Associated Virus-CFTR Vector in Patients With Cystic Fibrosis,Phase I Randomized Study of Adeno-Associated Virus-CFTR Vector in Patients With Cystic Fibrosis,,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,PHASE1,COMPLETED,INTERVENTIONAL,19,,1999-08,2002-08,2002-08,,ALL,15 Years,,CHILD;ADULT;OLDER_ADULT,0,"PROTOCOL ENTRY CRITERIA:

--Disease Characteristics--

Diagnosis of cystic fibrosis (CF) with mild to moderate lung disease; FVC at least 60% predicted; Schwachman-Kulczycki score at least 65; Sweat chloride greater than 60 mEq/L

All CF genotypes allowed

No sputum colonization with Burkholderia cepacia or another multiply resistant organism

No recurrent or intermittent hemoptysis; At least 1 year since significant hemoptysis requiring transfusion or embolization OR Coughing of greater than 30 mL of blood more often than once a week

--Prior/Concurrent Therapy--

At least 30 days since hospitalization or home intravenous antibiotic therapy for pulmonary exacerbation

No concurrent investigational drugs or therapy

--Patient Characteristics--

Other: No concurrent cigarette smoking; Not pregnant or nursing; Negative pregnancy test; Fertile patients must use effective contraception","OBJECTIVES:

I. Determine the maximum tolerated dose of recombinant adeno-associated virus-CFTR vector in patients with cystic fibrosis.

II. Assess the safety of this gene therapy in these patients.

III. Assess the in vivo gene transfer of this vector in these patients.

IV. Assess the CFTR gene expression and physiologic activity following gene transfer in these patients.

V. Assess the clinical impact of CFTR gene expression following gene transfer in these patients.

VI. Monitor patient immune response directed against CFTR or vector components following vector administration.",Cystic Fibrosis,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004705,Study of Uridine Triphosphate (UTP) as an Aerosol Spray for Cystic Fibrosis,,,FDA Office of Orphan Products Development,FED,NA,COMPLETED,INTERVENTIONAL,,,1996-09,,1999-01,,ALL,4 Years,,CHILD;ADULT;OLDER_ADULT,0,"PROTOCOL ENTRY CRITERIA:

--Disease Characteristics-- Diagnosis of mild to moderate cystic fibrosis Small production of daily airway secretions Stable pulmonary course --Prior/Concurrent Therapy-- Radiotherapy: No radiation within 12 months to cause patient to exceed annual limits Other: No chronic medication for reactive airways disease At least 12 hours since inhaled beta-adrenergic agonists At least 24 hours since systemic theophylline --Patient Characteristics-- FEV1 greater than 50% predicted Other: Not pregnant Must perform reproducible spirometry","OBJECTIVES: I. Determine the stability of uridine triphosphate (UTP) and examine the metabolism of exogenous nucleotides on airway epithelial surfaces in patients with cystic fibrosis.

II. Determine the acute safety and efficacy of aerosolized UTP in children with cystic fibrosis.",Cystic Fibrosis,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
NCT00004747,"Phase II Randomized, Double-Blind, Placebo-Controlled Study of Intravenous Mucoid Exopolysaccharide Pseudomonas Aeruginosa Immune Globulin for Cystic Fibrosis",,,National Center for Research Resources (NCRR),NIH,PHASE2,COMPLETED,INTERVENTIONAL,170,,1995-07,,,,ALL,6 Years,,CHILD;ADULT;OLDER_ADULT,0,"PROTOCOL ENTRY CRITERIA:

Disease Characteristics

* Cystic fibrosis (CF) documented by pilocarpine iontophoresis sweat chloride greater than 60 mEq/L FEV1 30%-80% of predicted and within 20% of maximum values obtained in 12 months prior to entry Able to expectorate at least 1 g of sputum within 3 hours at screening
* Mucoid Pseudomonas aeruginosa colonization documented in at least 2 serial expectorated sputum cultures in the year prior to entry Screening specimen meets requirement for 1 culture
* Documented exacerbation of respiratory tract infection At least 1 hospitalization and/or course of parenteral or nebulized antibiotic therapy in each of the 2 years prior to entry
* At least 2 serial spirometry tests over at least 6 months prior to entry FEV1 range no more than 15% relative to maximum value
* None of the following within 6 months prior to entry: Pseudomonas (Burholderia) cepacia or atypical mycobacteria in respiratory tract Pulmonary hemorrhage with greater than 5% drop in hematocrit Pneumothorax requiring chest tube
* No life-threatening CF sequelae, e.g.: Severe cirrhosis with ascites or bleeding Severe distal intestinal obstruction syndrome requiring cessation of oral intake Poorly controlled insulin-dependent diabetes with acetonuria

Prior/Concurrent Therapy

* No concurrent participation in other investigational protocols
* No prior investigational P. aeruginosa vaccine
* At least 45 days since immune globulin or antibacterial monoclonal antibody
* At least 4 weeks since investigational drugs
* At least 2 weeks since systemic glucocorticoids
* No requirement for systemic steroids during first 2 weeks of study

Patient Characteristics

* Renal: Creatinine less than 2 mg/dL (1.5 mg/dL in patients under 50 kg)
* No proteinuria
* No hematuria
* Cardiovascular: No cor pulmonale or other heart disease requiring chronic diuretics, afterload reduction, or cardiac glycoside therapy (e.g., digoxin)
* Immunologic: Endogenous immunoreactive IgA at least 5 mg/dL
* No hypersensitivity to immune globulin or human albumin
* No primary or acquired immunodeficiency disease
* Other: No clinical test abnormal on repeat and inconsistent with CF
* No smoking 1 month prior to and during study
* No suspected drug or alcohol abuse within 1 year prior to entry
* No severe illness that precludes protocol participation
* No disability, condition, or geographical location that would impair compliance
* No psychiatric disorder, intellectual deficiency, or other condition that would limit informed consent
* Negative pregnancy test required of fertile women
* Medically acceptable contraception required of fertile women
* Participating investigators, sub-investigators, study coordinators, and employees of participating investigators or immediate family members of any of these groups ineligible
* Blood/body fluid analyses and other exams within 28 days prior to registration","OBJECTIVES: I. Assess the efficacy of monthly intravenous mucoid exopolysaccharide Pseudomonas aeruginosa immune globulin (MEP IGIV) given over 1 year in reducing the frequency of acute pulmonary exacerbation in patients with cystic fibrosis, mild to moderate pulmonary disease, and mucoid P. aeruginosa colonization.

II. Assess the effect of MEP IGIV on FEV1, sputum density of mucoid P. aeruginosa, and the quality of life in these patients.

III. Assess the safety of monthly MEP IGIV. IV. Assess population-based MEP IGIV pharmacokinetics during chronic therapy.",Cystic Fibrosis | Bacterial Infections,0,,,2026-09-09T22:49:42+00:00,clinicaltrials_gov_api_v2
